zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price per sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools,homeType_CONDO,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY,homeType_TOWNHOUSE
15488945,1095 Montgomery Ave,94066,San Bruno,CA,37.637019,-122.412631,-0.6317554539165547,2,3,-0.7556397403183307,8,-0.6351748954070001,3350,20:55.0,428458,2500.0,00:00.0,1941,917.0,Yes,No,No,2,Yes,0,No,No,2,71,C-,B,C+,D+,0.0,0.0,0.0,1.0,0.0
15492543,221 Goodwin Dr,94066,San Bruno,CA,37.630722,-122.455764,1.0012850340901835,5,7,0.9056201999171434,11,1.0618767509326013,5054,39:50.0,1135243,6496.0,00:00.0,2021,913.0,No,Yes,No,3,Yes,1,No,Yes,2,71,C-,B,C+,D+,0.0,0.0,0.0,1.0,0.0
15490944,2561 Maywood Dr,94066,San Bruno,CA,37.632641,-122.44704,-0.3284765061438748,2,3,-0.6049438516424565,11,-0.29517501581169575,3999,19:47.0,1098583,6190.0,00:00.0,1957,1101.0,Yes,Yes,No,2,Yes,1,No,No,2,71,C-,B,C+,D+,0.0,0.0,0.0,1.0,0.0
15623625,2150 Shelter Creek Ln #2150,94066,San Bruno,CA,37.618923,-122.425751,-0.9459213382759464,1,0,-1.030353298143728,22,-0.9855648237983334,1800,18:00.0,237760,479.0,00:00.0,1972,806.0,No,Yes,No,0,No,0,No,No,0,71,C-,B,C+,D+,1.0,0.0,0.0,0.0,0.0
15498874,409 San Anselmo Ave N,94066,San Bruno,CA,37.622099,-122.40937,-0.5539916211543291,1,2,-0.6265748404476059,22,-0.530840001942322,3219,58:00.0,824453,2160.0,00:00.0,1925,856.0,Yes,Yes,No,1,Yes,0,No,No,0,71,C-,B,C+,D+,0.0,0.0,0.0,1.0,0.0
15623273,123 Piccadilly Pl APT A,94066,San Bruno,CA,37.633149,-122.428943,-0.9303685717235012,1,0,-1.0591946165505939,27,-0.9650647626117829,1803,01:00.0,145042,435.0,00:00.0,1971,922.0,No,Yes,No,0,No,0,No,No,0,71,C-,B,C+,D+,1.0,0.0,0.0,0.0,0.0
15500975,200 San Diego Ave,94066,San Bruno,CA,37.613343,-122.401884,-0.259266694985494,2,3,-0.273268689963499,28,-0.1978992117933267,4028,44:00.0,1157975,4081.0,00:00.0,1924,830.0,No,Yes,No,1,No,0,No,No,0,71,C-,B,C+,D+,0.0,0.0,0.0,1.0,0.0
15622553,1126 Cherry Ave APT 63,94066,San Bruno,CA,37.631859,-122.427212,-0.8729788631449787,1,1,-0.9943016501351457,42,-0.9092064205403736,1999,49:00.0,188260,522.0,00:00.0,1971,905.0,Yes,Yes,No,0,No,0,No,No,0,71,C-,B,C+,D+,1.0,0.0,0.0,0.0,0.0
15496272,917 Mills Ave,94066,San Bruno,CA,37.632426,-122.414347,0.535393357990086,2,3,0.7989073218117397,46,0.5734164630402672,1857,53:00.0,967490,5000.0,00:00.0,1941,760.0,Yes,Yes,No,0,No,0,No,Yes,0,71,C-,B,C+,D+,0.0,0.0,1.0,0.0,0.0
15494273,106 Quail Point Cir,94066,San Bruno,CA,37.628266,-122.438745,-0.3588044009211428,2,3,-0.22279638275148372,51,-0.3791859374639236,3999,19:40.0,393844,1324.0,00:00.0,1982,714.0,Yes,Yes,No,4,Yes,1,No,No,3,71,C-,B,C+,D+,0.0,0.0,0.0,0.0,1.0
15496483,811 Easton Ave,94066,San Bruno,CA,37.63001,-122.414804,0.22364670646792725,2,3,0.485979017097245,78,0.3264127175209927,1800,04:00.0,423943,3698.0,00:00.0,1951,732.0,Yes,Yes,No,1,No,0,No,No,0,71,C-,B,C+,D+,0.0,0.0,1.0,0.0,0.0
15497382,517 3rd Ave,94066,San Bruno,CA,37.625368,-122.406876,-0.16517245734320093,4,4,-0.09301044992058732,111,-0.17728667061010417,4603,41:00.0,469951,5000.0,00:00.0,1945,782.0,Yes,Yes,Yes,0,Yes,0,No,No,0,71,C-,B,C+,D+,0.0,0.0,0.0,1.0,0.0
89666871,848 Mills Ave,94066,San Bruno,CA,37.631302,-122.413129,-0.40546270057847816,2,2,-0.4030546227943954,168,-0.32286836671644675,3380,34:27.0,341538,2500.0,00:00.0,1989,801.0,Yes,Yes,Yes,1,Yes,1,No,No,2,71,C-,B,C+,D+,0.0,0.0,0.0,1.0,0.0
15560335,2273 Howard Ave,94070,San Carlos,CA,37.491477,-122.261615,0.21509268486408242,2,3,-0.3886339635909625,0,0.416396714858559,4914,58:00.0,1818537,4917.0,00:00.0,1948,1368.0,Yes,Yes,Yes,1,Yes,0,No,Yes,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15558508,1090 Drake Ct,94070,San Carlos,CA,37.486101,-122.2777,0.4561605664269819,2,3,0.13050976773262316,0,0.5932618130737755,5875,53:00.0,1640467,10998.0,00:00.0,1973,1047.0,Yes,Yes,Yes,3,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15556368,33 Pine Ave,94070,San Carlos,CA,37.499821,-122.270497,0.34107009393888793,2,4,-0.2054915917073642,0,0.29251357369640957,4900,04:00.0,1321702,5832.0,00:00.0,1940,1255.0,Yes,Yes,Yes,2,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15561958,1041 Walnut St,94070,San Carlos,CA,37.499742,-122.254052,0.16610147022388028,1,2,-0.5400508852270083,0,0.12255242010450633,3999,51:00.0,1596368,5998.0,00:00.0,1938,1560.0,Yes,Yes,Yes,1,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15549935,1609 Chula Vista Dr,94002,Belmont,CA,37.510736,-122.286538,0.30063290090253064,2,4,-0.10743110912402025,0,0.513750091288426,5059,19:00.0,951934,8385.0,00:00.0,1954,1129.0,Yes,Yes,No,1,Yes,0,No,No,0,81,A-,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15556694,222 Sycamore St,94070,San Carlos,CA,37.506263,-122.269906,0.4561605664269819,3,4,-0.05335363711114675,1,0.3173367453757382,4640,41:00.0,1524208,7000.0,00:00.0,1947,1191.0,Yes,Yes,No,2,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15560271,2017 Brittan Ave,94070,San Carlos,CA,37.494048,-122.261004,0.12721955384276745,2,3,-0.3021100083703649,1,0.15597604504660736,5029,57:00.0,910110,6076.0,00:00.0,1948,1183.0,Yes,Yes,Yes,1,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15636887,645 Prospect St APT 103,94070,San Carlos,CA,37.50246,-122.264642,-0.3354752510924751,2,2,-0.2538008000388645,2,-0.3446514755891726,4200,17:00.0,1019641,1568.0,00:00.0,1984,753.0,Yes,Yes,No,0,Yes,0,No,No,0,85,A,A,C-,A+,1.0,0.0,0.0,0.0,0.0
331222187,2 Aron Ct,94002,Belmont,CA,37.51378,-122.278437,1.5269685435628289,5,5,0.8486585960635833,4,1.58657654230441,9996,43:00.0,3212391,13560.0,00:00.0,2020,1155.0,Yes,Yes,Yes,1,No,0,No,No,0,81,A-,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15550700,158 Hillcrest Rd,94070,San Carlos,CA,37.507165,-122.27273,0.26952736779764036,2,3,-0.22279638275148372,4,0.32470612446803887,4993,23:00.0,887104,8058.0,00:00.0,1950,1216.0,Yes,Yes,No,1,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15559847,308 Hill Way,94070,San Carlos,CA,37.487185,-122.261305,-0.017508270587665926,2,2,-0.503999237218426,4,-0.002907768183395454,4099,48:00.0,572074,6756.0,00:00.0,1948,1302.0,No,Yes,No,2,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
63158197,633 Elm St APT 301,94070,San Carlos,CA,37.504866,-122.262052,-0.5804313242934859,1,1,-0.8255799374549804,8,-0.6095759996126924,2713,43:00.0,677291,58797.0,00:00.0,2003,1118.0,Yes,Yes,Yes,0,Yes,0,No,Yes,0,85,A,A,C-,A+,1.0,0.0,0.0,0.0,0.0
15560703,97 Hilltop Dr,94070,San Carlos,CA,37.486275,-122.259298,0.06500848763298694,2,3,-0.31653066757379783,10,0.10886476809570153,4929,22:00.0,392496,4399.0,00:00.0,1950,1145.0,No,Yes,Yes,1,No,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15560099,2555 Eaton Ave,94070,San Carlos,CA,37.483934,-122.258513,0.7687711741311289,3,4,0.4117126221995654,13,0.9037841762998771,6449,58:00.0,381803,7623.0,00:00.0,1968,1044.0,Yes,Yes,Yes,2,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
249628879,70 Gateway Ct,94070,San Carlos,CA,37.506449,-122.285316,1.7011595289502144,4,4,0.9294142876028078,14,1.6828159789051673,7484,43:00.0,2871179,4617.0,00:00.0,2018,1184.0,No,Yes,Yes,1,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15557888,953 Sunset Dr,94070,San Carlos,CA,37.490677,-122.269316,0.6894520647136588,3,4,0.2747163597669525,17,0.7692224169709264,6014,03:00.0,683718,5649.0,00:00.0,1959,1086.0,Yes,Yes,Yes,1,Yes,0,No,Yes,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
15550846,42-44 Elm St,94070,San Carlos,CA,37.511659,-122.269098,0.45382765144411513,2,3,0.21342855815236253,17,0.5422967387196539,2083,22:00.0,1142673,7440.0,00:00.0,1948,991.0,Yes,Yes,No,1,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,1.0,0.0,0.0
15642016,728 Elm St APT 202,94070,San Carlos,CA,37.502936,-122.260946,-0.5143709483619752,2,2,-0.612154181244173,28,-0.5320400471481944,3392,13:00.0,472115,1219.0,00:00.0,1976,888.0,Yes,Yes,No,0,Yes,0,No,Yes,0,85,A,A,C-,A+,1.0,0.0,0.0,0.0,0.0
15558604,997 Crestview Dr,94070,San Carlos,CA,37.484656,-122.283996,0.923521201327958,3,4,1.1976385487866603,32,1.0627300474590782,8573,43:00.0,1461686,9988.0,00:00.0,1980,782.0,Yes,Yes,Yes,1,Yes,0,No,No,0,85,A,A,C-,A+,0.0,0.0,0.0,1.0,0.0
63158169,633 Elm St APT 113,94070,San Carlos,CA,37.504866,-122.262052,-0.5337730246361505,1,1,-0.8551422888220179,36,-0.5604726631345205,2699,38:00.0,550347,58798.0,00:00.0,2003,1262.0,Yes,Yes,Yes,1,Yes,0,No,No,0,85,A,A,C-,A+,1.0,0.0,0.0,0.0,0.0
15636653,793 Elm St APT 15,94070,San Carlos,CA,37.502799,-122.259809,-0.32381067617814124,2,2,-0.2934576128483051,49,-0.33650326948543297,3999,08:00.0,489160,1350.0,00:00.0,1982,790.0,Yes,No,No,0,Yes,0,No,Yes,0,85,A,A,C-,A+,1.0,0.0,0.0,0.0,0.0
15636334,1 Elm St APT 202,94070,San Carlos,CA,37.51245,-122.269412,-0.5073333214969937,2,2,-0.5328405556252919,91,-0.5198743658529785,3465,11:00.0,977594,1219.0,00:00.0,1981,813.0,Yes,Yes,No,2,No,0,No,No,0,85,A,A,C-,A+,1.0,0.0,0.0,0.0,0.0
15635476,222 Laurel St APT 208,94070,San Carlos,CA,37.510372,-122.266013,-0.6706373702976676,1,1,-0.877494310587339,100,-0.7092565483874964,2300,01:00.0,716243,871.0,00:00.0,1963,1067.0,Yes,Yes,No,1,Yes,0,No,No,0,85,A,A,C-,A+,1.0,0.0,0.0,0.0,0.0
15130857,676 Alvarado St,94114,San Francisco,CA,37.753821,-122.435917,0.21509268486408242,3,3,-0.03316471422634064,0,0.18771324576274398,6846,47:37.0,1390130,3202.0,00:00.0,1980,1008.0,Yes,Yes,No,1,Yes,2,No,Yes,0,64,F,B+,B+,D+,1.0,0.0,0.0,0.0,0.0
