zpid,streetAddress,zipcode,city,state,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,daysOnZillow,zestimate,rentZestimate,timeOnZillow,taxAssessedValue,lotAreaValue,dateSold,CalendarYear built,Price per sqft,HasFlooring,HasHeating,HasCooling,GarageSpaces,HasLaundary,FirePlaces,HasPool,HasSecurity,Stories,Livability,Crime,Employment,Housing,Schools
24856386,3000 San Jose Ave,94501,Alameda,CA,37.755953,-122.236975,995000,2,3,1384,SINGLE_FAMILY,7,1103900,3458,28:15.0,829244,2871,00:00.0,1927,719,Yes,Yes,No,1,Yes,1,No,Yes,0,76,C,B,B-,B+
2073521511,"Leeward - Plan 5 Plan, Leeward at Alameda Point",94501,Alameda,CA,37.780183,-122.291736,1085000,3,3,1767,TOWNHOUSE,7,1085000,3788,16:00.0,514005,286533.7061,,2021,614,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
2071614829,"Plan 1 Plan, Landing at Bay37",94501,Alameda,CA,37.790927,-122.280359,850990,2,2,1305,CONDO,7,850990,4140,16:00.0,514005,286533.7061,,2021,652,No,No,No,1,No,0,No,No,0,76,C,B,B-,B+
24868493,1711 Palmera Ct,94501,Alameda,CA,37.764446,-122.260393,1995000,3,3,2482,SINGLE_FAMILY,7,1995000,4937,18:25.0,1070351,4620,00:00.0,1924,804,Yes,Yes,No,1,Yes,1,No,No,2,76,C,B,B-,B+
299075646,617 Pacific Ave,94501,Alameda,CA,37.776844,-122.278306,799000,1,2,802,SINGLE_FAMILY,7,890100,2258,00:00.0,19251,3402,00:00.0,1925,996,Yes,Yes,No,1,No,0,No,No,0,76,C,B,B-,B+
24858342,979 Pearl St,94501,Alameda,CA,37.755699,-122.243109,1395000,3,3,2281,SINGLE_FAMILY,7,1567700,4868,28:09.0,1251381,4000,00:00.0,1928,612,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+
24857708,3006 Fernside Blvd,94501,Alameda,CA,37.764886,-122.228871,995000,2,3,1569,SINGLE_FAMILY,7,995000,3587,13:15.0,92188,4000,,1937,634,Yes,Yes,No,1,Yes,1,No,No,2,76,C,B,B-,B+
2071614826,"Plan 2 Plan, Breeze at Bay37",94501,Alameda,CA,37.790927,-122.280359,1415990,4,4,2565,SINGLE_FAMILY,8,1415990,4140,16:00.0,514005,286533.7061,,2021,552,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
24856988,3246 Liberty Ave,94501,Alameda,CA,37.758151,-122.229136,1795000,3,4,2497,SINGLE_FAMILY,8,1795000,4880,18:12.0,903359,4600,00:00.0,1912,719,Yes,Yes,No,1,Yes,2,No,Yes,2,76,C,B,B-,B+
2071614830,"Plan 3 Plan, Landing at Bay37",94501,Alameda,CA,37.790927,-122.280359,940990,2,3,1454,CONDO,8,940990,4140,16:00.0,514005,286533.7061,,2021,647,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2075133369,"Crest - Plan 4 Plan, Crest at Alameda Point",94501,Alameda,CA,37.780183,-122.291736,1090000,4,4,1914,CONDO,8,1090000,3788,16:00.0,514005,286533.7061,,2021,569,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
2071614815,"Plan 3C Plan, Lookout at Bay37",94501,Alameda,CA,37.790927,-122.280359,815990,2,2,1066,TOWNHOUSE,8,815990,4140,16:00.0,514005,286533.7061,,2021,765,No,No,No,1,No,0,No,No,0,76,C,B,B-,B+
24864273,418 Lincoln Ave,94501,Alameda,CA,37.775108,-122.284987,898000,1,2,1056,SINGLE_FAMILY,9,898000,3126,53:10.0,49605,5100,00:00.0,1916,850,Yes,Yes,Yes,0,Yes,1,No,Yes,1,76,C,B,B-,B+
2071614818,"Plan 7 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,1095990,3,3,1997,CONDO,10,1095990,4140,16:00.0,514005,286533.7061,,2021,549,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2071614823,"Plan 6 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,1025990,3,3,1756,CONDO,11,1025990,4140,16:00.0,514005,286533.7061,,2021,584,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
2075133368,"Crest - Plan 1 Plan, Crest at Alameda Point",94501,Alameda,CA,37.780183,-122.291736,1180000,4,3,2076,CONDO,12,1180000,3788,16:00.0,514005,286533.7061,,2021,568,No,No,No,0,No,0,No,No,0,76,C,B,B-,B+
2111367837,1813 3rd St,94501,Alameda,CA,37.778222,-122.288061,599000,1,2,697,TOWNHOUSE,14,673200,2651,39:11.0,514005,286533.7061,,1940,859,Yes,Yes,No,0,Yes,0,No,No,1,76,C,B,B-,B+
163650749,2725 5th St,94501,Alameda,CA,37.787865,-122.281664,1295000,3,4,2454,CONDO,15,1380099,4966,32:00.0,1211252,16160,00:00.0,2016,528,Yes,Yes,No,1,Yes,0,No,Yes,0,76,C,B,B-,B+
24864013,552 Haight Ave,94501,Alameda,CA,37.774103,-122.280093,799000,1,2,1283,SINGLE_FAMILY,16,900200,3399,48:18.0,70443,3135,,1896,623,Yes,Yes,No,0,Yes,0,No,No,1,76,C,B,B-,B+
24859582,2430 Webb Ave,94501,Alameda,CA,37.7651,-122.24037,975000,2,3,1152,SINGLE_FAMILY,16,1057300,3428,28:09.0,794061,3333,00:00.0,1890,846,Yes,Yes,No,0,Yes,0,No,Yes,2,76,C,B,B-,B+
24859658,2519 Clement Ave,94501,Alameda,CA,37.768693,-122.235437,898000,2,3,1430,SINGLE_FAMILY,17,898000,3669,33:16.0,817008,3750,00:00.0,1880,628,Yes,Yes,No,0,Yes,0,No,No,2,76,C,B,B-,B+
2071614824,"Plan 2 Plan, Compass at Bay37",94501,Alameda,CA,37.790927,-122.280359,885990,3,2,1366,CONDO,17,885990,4140,16:00.0,514005,286533.7061,,2021,649,No,No,No,2,No,0,No,No,0,76,C,B,B-,B+
24869784,1355 Crown Dr,94501,Alameda,CA,37.770229,-122.281164,849000,2,2,1188,CONDO,22,918700,3200,13:12.0,644088,403366,00:00.0,1980,715,Yes,Yes,No,1,Yes,1,No,No,1,76,C,B,B-,B+
24869107,933 Shore Line Dr #104,94501,Alameda,CA,37.75557,-122.253565,799000,2,2,1360,CONDO,22,898200,3375,13:14.0,243492,39765,,1970,588,Yes,Yes,No,1,Yes,1,No,Yes,1,76,C,B,B-,B+
24859228,1119 Broadway,94501,Alameda,CA,37.757286,-122.243776,1200000,2,3,1559,SINGLE_FAMILY,22,1348300,3869,28:26.0,383788,2590,00:00.0,1927,770,Yes,Yes,No,1,Yes,1,No,Yes,2,76,C,B,B-,B+
24860300,2111 San Antonio Ave,94501,Alameda,CA,37.764696,-122.251002,1188000,4,6,2726,MULTI_FAMILY,24,1188000,3616,03:26.0,438244,5550,,1875,436,Yes,Yes,No,0,No,0,No,No,0,76,C,B,B-,B+
24858234,1239 College Ave,94501,Alameda,CA,37.758559,-122.23817,998000,1,2,805,SINGLE_FAMILY,26,1114200,2499,13:07.0,798134,2575,00:00.0,1906,1240,Yes,Yes,Yes,0,Yes,0,No,No,1,76,C,B,B-,B+
2068684453,888 Willow St,94501,Alameda,CA,37.762538,-122.252991,1789000,4,5,3092,MULTI_FAMILY,28,1789000,3978,33:19.0,514005,4895,,1915,579,Yes,Yes,Yes,2,Yes,0,No,No,0,76,C,B,B-,B+
24868044,888 Willow St #A,94501,Alameda,CA,37.762538,-122.252991,899000,3,3,2040,CONDO,29,899000,4298,48:17.0,804142,4895,00:00.0,1915,441,Yes,Yes,No,0,Yes,2,No,No,2,76,C,B,B-,B+
24859354,2404 Otis Dr,94501,Alameda,CA,37.757119,-122.248341,1250000,2,3,2038,SINGLE_FAMILY,32,1432700,4264,43:11.0,116198,5633,,1949,613,Yes,Yes,No,1,Yes,2,Yes,Yes,2,76,C,B,B-,B+
24867940,2137 Otis Dr APT 314,94501,Alameda,CA,37.760856,-122.252464,625000,2,2,1162,CONDO,34,661300,3200,03:24.0,416370,73180,00:00.0,1966,538,Yes,Yes,Yes,1,Yes,0,Yes,No,1,76,C,B,B-,B+
24856100,3276 Washington St,94501,Alameda,CA,37.752156,-122.234307,1299000,3,3,1575,SINGLE_FAMILY,35,1455700,3728,23:24.0,1086136,4400,00:00.0,1958,825,Yes,Yes,Yes,2,Yes,1,No,Yes,1,76,C,B,B-,B+
24861921,1520 Santa Clara Ave,94501,Alameda,CA,37.772604,-122.259971,1259000,2,4,1950,MULTI_FAMILY,-1,1057100,3253,42:02.6,780502,129198960,00:00.0,1900,646,No,Yes,No,2,Yes,0,No,No,0,76,C,B,B-,B+
24859642,2417 Eagle Ave,94501,Alameda,CA,37.768751,-122.237978,890000,1,2,979,SINGLE_FAMILY,36,890000,3123,58:05.0,407501,4000,00:00.0,1910,909,Yes,Yes,No,1,Yes,0,No,No,1,76,C,B,B-,B+
24864647,100 Pacific Ave,94501,Alameda,CA,37.776254,-122.290839,699000,1,3,1002,SINGLE_FAMILY,36,778700,3027,13:14.0,858805,5100,,1945,698,Yes,Yes,No,0,Yes,1,No,No,1,76,C,B,B-,B+
24861003,1415 Lafayette St,94501,Alameda,CA,37.769802,-122.253182,2900000,6,5,5249,SINGLE_FAMILY,37,2119700,5205,33:18.0,1455444,12417,00:00.0,1893,552,Yes,Yes,Yes,0,Yes,1,Yes,No,3,76,C,B,B-,B+
24866636,3437 Oleander Ave,94502,Alameda,CA,37.731428,-122.237611,995000,3,3,1760,TOWNHOUSE,42,1124200,3785,24:00.0,411761,1738,00:00.0,1974,565,Yes,Yes,No,0,Yes,0,No,No,0,76,C,B,B-,B+
24862327,1547 Sherman St,94501,Alameda,CA,37.774331,-122.26367,1899000,4,8,3012,MULTI_FAMILY,42,1961900,5245,38:31.0,546916,5540,00:00.0,1895,630,Yes,Yes,Yes,4,Yes,0,No,Yes,0,76,C,B,B-,B+
24862328,1543 Sherman St,94501,Alameda,CA,37.774229,-122.263687,1399000,2,6,2542,MULTI_FAMILY,42,1509100,3816,58:13.0,319098,6142,00:00.0,1895,550,Yes,Yes,No,4,No,0,No,No,0,76,C,B,B-,B+
24869374,955 Shorepoint Ct APT 216,94501,Alameda,CA,37.762806,-122.26897,475000,1,1,773,CONDO,49,517400,2163,38:13.0,425723,101260,00:00.0,1971,614,Yes,Yes,No,1,Yes,0,Yes,No,1,76,C,B,B-,B+
24859060,1523 Broadway,94501,Alameda,CA,37.764404,-122.238009,1800000,4,7,3755,MULTI_FAMILY,57,1844100,4977,38:16.0,582470,5662,00:00.0,1917,479,Yes,Yes,Yes,4,No,0,No,No,0,76,C,B,B-,B+
18421836,2081 Danville Blvd,94507,Alamo,CA,37.877895,-122.050657,2600000,5,6,4001,SINGLE_FAMILY,0,2600000,4500,53:14.0,1433885,28215,00:00.0,1977,650,Yes,Yes,Yes,2,Yes,2,No,Yes,2,82,A,A+,D,A+
68032577,314 Las Quebradas,94507,Alamo,CA,37.865739,-122.010016,4249000,8,5,6355,SINGLE_FAMILY,0,4298700,12500,43:09.0,3548163,20520,00:00.0,2005,669,Yes,Yes,Yes,6,Yes,5,Yes,Yes,2,82,A,A+,D,A+
18426503,2716 Miranda Ave,94507,Alamo,CA,37.865517,-122.016709,1699000,3,4,2441,SINGLE_FAMILY,1,1784600,5499,28:10.0,1230036,27312,00:00.0,1982,696,Yes,Yes,Yes,1,Yes,0,No,No,2,82,A,A+,D,A+
111414004,168 La Sonoma Way,94507,Alamo,CA,37.839037,-122.031043,2100000,3,5,2497,SINGLE_FAMILY,4,2211000,5947,28:12.0,123056,28600,,1930,841,Yes,Yes,No,2,Yes,1,No,No,2,82,A,A+,D,A+
18421229,3079 Stonegate Dr,94507,Alamo,CA,37.875979,-122.001918,3650000,5,4,4683,SINGLE_FAMILY,6,3650300,7724,18:12.0,1589482,15600,00:00.0,1990,779,Yes,Yes,Yes,3,Yes,1,No,No,2,82,A,A+,D,A+
2068455198,41 Guerney Ln,94507,Alamo,CA,37.842106,-122.02358,1789000,3,3,1931,SINGLE_FAMILY,6,1789000,4500,18:13.0,514005,25265,,1929,926,Yes,Yes,Yes,2,Yes,1,Yes,No,1,82,A,A+,D,A+
18426825,2203 Granite Dr,94507,Alamo,CA,37.86057,-122.015661,2500000,5,4,3887,SINGLE_FAMILY,14,2546300,7359,43:10.0,1792592,21800,00:00.0,1960,643,Yes,Yes,Yes,4,Yes,1,No,Yes,2,82,A,A+,D,A+
18427589,180 Tracy Ln,94507,Alamo,CA,37.862987,-122.003367,4995000,5,4,5154,SINGLE_FAMILY,21,4995000,10495,28:55.0,2680000,78408,00:00.0,1987,969,Yes,Yes,Yes,3,Yes,3,Yes,Yes,3,82,A,A+,D,A+
18426248,2795 Miranda Ave,94507,Alamo,CA,37.863508,-122.019671,2850000,7,6,3939,SINGLE_FAMILY,27,2944000,8741,48:09.0,1540060,21840,00:00.0,2010,724,Yes,Yes,Yes,3,Yes,1,Yes,Yes,1,82,A,A+,D,A+
18431105,144 La Sonoma Way,94507,Alamo,CA,37.84065,-122.03165,3950000,6,4,4326,SINGLE_FAMILY,35,3950000,11539,58:31.0,1695212,22100,00:00.0,2010,913,Yes,Yes,Yes,2,Yes,3,Yes,Yes,2,82,A,A+,D,A+
18426341,201 Vernal Dr,94507,Alamo,CA,37.861883,-122.031126,1987500,3,4,2818,SINGLE_FAMILY,36,1991000,5958,23:12.0,960527,44867,00:00.0,1938,705,Yes,Yes,Yes,2,Yes,2,Yes,No,2,82,A,A+,D,A+
18427639,150 Sugar Creek Ln,94507,Alamo,CA,37.863416,-121.992567,3599000,6,5,5323,SINGLE_FAMILY,-1,3121400,9128,42:02.6,2165847,121968,00:00.0,1989,676,No,Yes,Yes,4,Yes,3,Yes,Yes,2,82,A,A+,D,A+
241642019,522 Hemme Ave,94507,Alamo,CA,37.83793,-122.031818,4980000,6,4,6224,SINGLE_FAMILY,58,4980000,10999,18:13.0,3254000,41382,,2016,800,Yes,Yes,Yes,3,Yes,4,No,Yes,2,82,A,A+,D,A+
